Column,Mean,Standard Deviation,95% CI Lower Bound,95% CI Upper Bound
Paradox Percentage,61.6840441254099,1.5526533552517559,61.019963316086184,62.34812493473361
Neighbor Paradox Percentage,87.633841094793,2.7937371251030854,86.43893998901763,88.82874220056837
