Filename,Closeness Centrality Time (s),Eigenvector Centrality Time (s)
socfb-Auburn71.mtx,52.142169713974,2.6750454902648926
socfb-Berkeley13.mtx,47.94127655029297,3.3442745208740234
socfb-Bingham82.mtx,15.301372528076172,1.350773811340332
socfb-Brown11.mtx,15.654010534286499,0.5843760967254639
socfb-Cornell5.mtx,39.84782958030701,3.612180233001709
socfb-FSU53.mtx,60.315622091293335,10.76798701286316
socfb-Harvard1.mtx,38.90566849708557,1.6054439544677734
socfb-Indiana.mtx,77.2749502658844,8.989738464355469
socfb-Michigan23.mtx,72.0505313873291,9.624016046524048
socfb-Mississippi66.mtx,26.619683980941772,0.8470828533172607
socfb-MSU24.mtx,68.66262626647949,14.555779933929443
socfb-MU78.mtx,31.37917995452881,1.6981000900268555
socfb-NYU9.mtx,40.1806161403656,3.421184778213501
socfb-Penn94.mtx,89.89368152618408,228.00410771369934
socfb-Stanford3.mtx,27.508339405059814,1.037693738937378
socfb-Texas80.mtx,74.48922967910767,10.785164594650269
socfb-Texas84.mtx,103.29499769210815,19.209805727005005
socfb-UF.mtx,92.13881134986877,16.001139163970947
socfb-UVA16.mtx,41.515784740448,3.1383323669433594
socfb-Virginia63.mtx,38.03492879867554,4.09477686882019
socfb-Wisconsin87.mtx,48.932095766067505,4.295264720916748
