Filename,Closeness Centrality Time (s),Eigenvector Centrality Time (s),Rel_Val Close,Rel_Val Eig
socfb-Auburn71.mtx,52.142169713974,2.6750454902648926,0.009973101997975298,0.00033219649433291476
socfb-Berkeley13.mtx,47.94127655029297,3.3442745208740234,0.006184279468105847,0.00026037478129026237
socfb-Bingham82.mtx,15.301372528076172,1.350773811340332,0.003443463076801767,0.00010857856515167352
socfb-Brown11.mtx,15.6540105342865,0.5843760967254639,0.0024305960086774547,4.171635833027931e-05
socfb-Cornell5.mtx,39.84782958030701,3.612180233001709,0.004729375899675592,0.00026480784303817284
socfb-FSU53.mtx,60.315622091293335,10.76798701286316,0.008447850080576025,0.0009576447152376266
socfb-Harvard1.mtx,38.90566849708557,1.6054439544677734,0.007424009162656731,0.00016627007163350083
socfb-Indiana.mtx,77.2749502658844,8.989738464355469,0.007424857821772934,0.0007724337495794709
socfb-Michigan23.mtx,72.0505313873291,9.624016046524048,,
socfb-Mississippi66.mtx,26.61968398094177,0.8470828533172607,,
socfb-MSU24.mtx,68.66262626647949,14.555779933929443,,
socfb-MU78.mtx,31.37917995452881,1.6981000900268557,,
socfb-NYU9.mtx,40.1806161403656,3.421184778213501,,
socfb-Penn94.mtx,89.89368152618408,228.0041077136993,,
socfb-Stanford3.mtx,27.50833940505981,1.037693738937378,,
socfb-Texas80.mtx,74.48922967910767,10.785164594650269,,
socfb-Texas84.mtx,103.29499769210815,19.209805727005005,,
socfb-UF.mtx,92.13881134986876,16.001139163970947,,
socfb-UVA16.mtx,41.515784740448,3.13833236694336,,
socfb-Virginia63.mtx,38.03492879867554,4.09477686882019,,
socfb-Wisconsin87.mtx,48.93209576606751,4.295264720916748,,
