Column,Mean,Standard Deviation,95% CI Lower Bound,95% CI Upper Bound
Paradox Percentage,62.812625588041,11.650810980723113,57.103728207486675,68.52152296859532
Neighbor Paradox Percentage,73.56142267382958,18.690748760295765,64.40295578128466,82.7198895663745
